term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Keratitis,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); corneal ulcer; limiting self care ADL",Perforation; best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by inflammation to the cornea of the eye.,Also consider Eye disorders: Corneal ulcer,20
Night blindness,Eye disorders,CTCAE v5.0,,Symptomatic but not limiting ADL,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by an inability to see clearly in dim light.,-,20
Optic nerve disorder,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only,Moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by involvement of the optic nerve (second cranial nerve).,-,20
Papilledema,Eye disorders,CTCAE v5.0,,Asymptomatic; no visual field deficit,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by swelling around the optic disc.,-,20
Periorbital edema,Eye disorders,CTCAE v5.0,,Soft or non-pitting,Indurated or pitting edema; topical intervention indicated,"Edema associated with visual disturbance; increased intraocular pressure, glaucoma or retinal hemorrhage; optic neuritis; diuretics indicated; operative intervention indicated",-,-,A disorder characterized by swelling due to an excessive accumulation of fluid around the orbits of the face.,-,21
Photophobia,Eye disorders,CTCAE v5.0,,Symptomatic but not limiting ADL,Limiting instrumental ADL,Limiting self care ADL,-,-,A disorder characterized by fear and avoidance of light.,-,21
Retinal detachment,Eye disorders,CTCAE v5.0,,-,-,Macular sparing rhegmatogenous detachment,Macula-off rhegmatogenous retinal detachment,-,A disorder characterized by the separation of the inner retina layers from the underlying pigment epithelium.,-,21
Retinal tear,Eye disorders,CTCAE v5.0,,No retinal detachment and treatment not indicated,No retinal detachment and treatment indicated,-,-,-,"A disorder characterized by a small laceration of the retina, this occurs when the vitreous separates from the retina. Symptoms include flashes and floaters.","If retinal detachment is present, grade under Eye disorders: Retinal detachment",21
Retinal vascular disorder,Eye disorders,CTCAE v5.0,,-,Retinal vascular disorder without neovascularization,Retinal vascular disorder with neovascularization,-,-,A disorder characterized by pathological retinal blood vessels that adversely affects vision.,"If vitreous hemorrhage is present, report under Eye disorders: Vitreous hemorrhage.",21
Retinopathy,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder involving the retina.,"If vitreous hemorrhage is present, report under Eye disorders: Vitreous hemorrhage.",21
Scleral disorder,Eye disorders,CTCAE v5.0,,No change in vision from baseline,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by involvement of the sclera of the eye.,-,22
Uveitis,Eye disorders,CTCAE v5.0,,Anterior uveitis with trace cells,Anterior uveitis with 1+ or 2+ cells,Anterior uveitis with 3+ or greater cells; intermediate posterior or pan-uveitis,Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by inflammation to the uvea of the eye.,-,22
Vision decreased,Eye disorders,CTCAE v5.0,,-,Moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by a decrease in visual acuity.,"If etiology is known, use a more specific CTCAE term.",22
Vitreous hemorrhage,Eye disorders,CTCAE v5.0,,Intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL; vitrectomy indicated",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by bleeding into the vitreous humor.,-,22
Watering eyes,Eye disorders,CTCAE v5.0,,Intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by excessive tearing in the eyes; it can be caused by overproduction of tears or impaired drainage of the tear duct.,-,23
"Eye disorders - Other, specify",Eye disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated; no change in vision,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL; best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline","Severe or medically significant but not immediately sight- threatening; limiting self care ADL; decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Sight-threatening consequences; urgent intervention indicated; best corrected visual acuity of 20/200 or worse in the affected eye,-,-,-,23
Abdominal distension,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; limiting instrumental ADL,Severe discomfort; limiting self care ADL,-,-,A disorder characterized by swelling of the abdomen.,-,24
Abdominal pain,Gastrointestinal disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the abdominal region.,-,24
Anal fissure,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic,Symptomatic,Invasive intervention indicated,-,-,A disorder characterized by a tear in the lining of the anus.,-,24
Anal fistula,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the opening in the anal canal to the perianal skin.,-,24
Anal hemorrhage,Gastrointestinal disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the anal region.,-,24
Anal mucositis,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL,-,-,A disorder characterized by ulceration or inflammation of the mucous membrane of the anus.,Report Grade 4 and 5 as Gastrointestinal disorders: Anal ulcer,24
Anal necrosis,Gastrointestinal disorders,CTCAE v5.0,,-,-,TPN or hospitalization indicated; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the anal region.,-,24
Anal pain,Gastrointestinal disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the anal region.,-,25
Anal stenosis,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,Symptomatic and severely altered GI function; non- emergent operative intervention indicated; TPN or hospitalization indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the anal canal.,-,25
